Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature Difference,Mechanical Power,Wear Rate,Thermal Stress
2,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,0.0,449.4
1,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,0.0021306818166685498,486.15
1,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,0.003337783709387327,513.7599999999989
1,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,0.004884856940066394,410.8000000000013
1,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,0.006392045450005649,420.0
2,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,0.007719298240196983,439.95
1,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,0.008985879326709962,445.2
1,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,0.010478061551749795,422.1
2,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,0.010797840425436208,297.4399999999994
2,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,0.012062033307259027,294.0
0,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,0.013468013460455659,250.95
0,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,0.02037947995756888,465.15
2,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,0.02539208362554736,536.5500000000001
2,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,0.021239954063582114,317.999999999999
1,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,0.019656019646360677,207.75999999999934
1,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,0.027237354067939458,513.0399999999984
2,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,0.03356216625967798,493.95999999999844
2,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,64296.0,0.03333333330969267,478.8
0,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,71177.0,0.03828483917436076,566.7999999999988
2,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,0.03370098037150675,338.00000000000114
0,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,0.04218181815114049,444.08000000000146
1,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,0.04344827583210464,470.4
2,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,0.04111321945533635,319.28000000000105
1,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,0.03868031852179731,267.2799999999994
2,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,0.044843049298627126,387.9199999999991
1,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,0.03922622243996441,244.65
1,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,0.049603174570368266,405.5999999999991
0,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,0.042517945862773084,253.3799999999989
1,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,0.05698401663864905,455.259999999998
1,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,0.04961606612544828,313.03999999999934
2,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,0.06422703505285508,501.27999999999895
1,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,0.049499443798943575,265.1999999999994
1,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,0.064129668735638,502.31999999999886
1,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,0.05585585582230879,338.00000000000114
2,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,0.06093649771588422,357.4100000000004
2,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,0.06749311290117553,505.4399999999989
2,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,0.06388361792290725,378.01000000000045
1,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,0.07227241134657927,403.7600000000005
0,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,0.07686729508566548,522.2100000000006
1,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,0.08222222216131686,540.7500000000006
1,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,0.0829662260771173,467.6200000000005
1,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,0.08406432742392958,523.2400000000006
2,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,0.08552631572695445,505.7300000000006
