Feature,Mean SHAP Value
HDF,0.4200493746960446
Temperature Difference,0.24643383878145533
Type,0.24287852093682505
Air temperature [K],0.1775139953616548
Torque [Nm],0.1486671443018451
OSF,0.1061352055916771
PWF,0.0902170768945649
Process temperature [K],0.07735870186812677
TWF,0.07074073731918454
Wear Rate,0.053075508298146765
Mechanical Power,0.0483028241376167
Rotational speed [rpm],0.030875749370604562
Thermal Stress,0.028114564830426892
RNF,0.0018773987246223094
Tool wear [min],0.0007916781067158555
